2020-08-03 07:18:32 1022 [restartedMain] INFO  c.w.v.vSpringBlogApplication - Starting vSpringBlogApplication on LAPTOP-CKUB6RF7 with PID 57220 (C:\Users\luis_liu\IdeaProjects\VSpringBlog\target\classes started by luis_liu in C:\Users\luis_liu\Desktop\blog\blog\VSpringBlog) 
2020-08-03 07:18:32 1031 [restartedMain] INFO  c.w.v.vSpringBlogApplication - No active profile set, falling back to default profiles: default 
2020-08-03 07:18:32 1107 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2020-08-03 07:18:32 1108 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2020-08-03 07:18:33 2067 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode! 
2020-08-03 07:18:33 2069 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
2020-08-03 07:18:33 2118 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31ms. Found 0 Redis repository interfaces. 
2020-08-03 07:18:34 2370 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.whyzaa.vspringblog.config.ShiroConfig$$EnhancerBySpringCGLIB$$1dd33344] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-08-03 07:18:34 2542 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-plus-com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties' of type [com.baomidou.mybatisplus.autoconfigure.MybatisPlusProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-08-03 07:18:34 2546 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatisPlusConfig' of type [com.whyzaa.vspringblog.config.MybatisPlusConfig$$EnhancerBySpringCGLIB$$e385b4e0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2020-08-03 07:18:34 2550 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'paginationInterceptor' of type [com.baomidou.mybatisplus.extension.plugins.PaginationInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
